company_name,company_number,company_status,company_type,company_subtype,incorporation_date,registered_date,nature_of_business,registered_office_address,_drop_reason
FUTURE GROWTH CAPITAL LIMITED,15666257,active,ltd,,22-04-2024,22-04-2024,[66300],1 London Wall Place London England EC2Y 5AU,only SIC 66300 + incorporated 2024 or later
ECHIDNA HOLDINGS LIMITED,15731164,active,ltd,,20-05-2024,20-05-2024,[66300],237 Westcombe Hill London United Kingdom SE3 7DW,only SIC 66300 + incorporated 2024 or later
AUGMENTUM FINTECH GP LIMITED,11194622,active,ltd,,08-02-2018,08-02-2018,[66300],5th Floor 4 Chiswell Street London England EC1Y 4UP,name pattern: GP entity
BALYASNY INTERNATIONAL II LTD,14715832,active,ltd,,08-03-2023,08-03-2023,[66300],23 King Street London England SW1Y 6QY,name pattern: roman-numeral fund series suffix
3I GP 2019 (SCOTS) LIMITED,SC630869,active,ltd,,21-05-2019,21-05-2019,"[64205, 66300]",50 Lothian Road Edinburgh Scotland EH3 9WJ,name pattern: GP entity
OXBRIDGE ANGELS NOMINEES 2020 LTD,12145651,active,ltd,,08-08-2019,08-08-2019,[66300],298 A Bath Road Hounslow United Kingdom TW4 7DN,name pattern: nominee entity
NUPPP (GP) LIMITED,04330905,active,ltd,,29-11-2001,29-11-2001,[66300],80 Fenchurch Street London United Kingdom EC3M 4AE,name pattern: GP entity
ABRDN (IL INFRASTRUCTURE DEBT) GP LIMITED,14313126,active,ltd,,23-08-2022,23-08-2022,[66300],280 Bishopsgate London United Kingdom EC2M 4AG,name pattern: GP entity
ICG LONGBOW SENIOR DEBT I GP LIMITED,02276839,active,ltd,,13-07-1988,13-07-1988,[66300],Procession House London United Kingdom EC4M 7JW,name pattern: GP entity
ALTIMIST CAPITAL LTD,15761023,active,ltd,,04-06-2024,04-06-2024,[66300],"34 Switch House West,  Battersea Power Station London United Kingdom SW11 8BD",only SIC 66300 + incorporated 2024 or later
BALYASNY INTERNATIONAL ASSET MANAGEMENT II LIMITED,05384864,active,ltd,,08-03-2005,08-03-2005,[66300],23 King Street London England SW1Y 6QY,name pattern: roman-numeral fund series suffix
HANGAR X LTD,14116953,active,ltd,,19-05-2022,19-05-2022,[66300],15 Cavendish Square West Central England W1G 0AN,name pattern: roman-numeral fund series suffix
AVIVA INVESTORS INFRASTRUCTURE GP LIMITED,07739651,active,ltd,,15-08-2011,15-08-2011,[66300],80 Fenchurch Street London United Kingdom EC3M 4AE,name pattern: GP entity
AVIVA INVESTORS COMMERCIAL ASSETS GP LIMITED,07680828,active,ltd,,23-06-2011,23-06-2011,[66300],80 Fenchurch Street London United Kingdom EC3M 4AE,name pattern: GP entity
FORESIGHT EUROPEAN SOLAR FUND CIP GP LIMITED,SC340909,active,ltd,,07-04-2008,07-04-2008,[66300],C/O Foresight Group Llp Clarence House Edinburgh Scotland EH2 4JS,name pattern: GP entity
BRACKET VENTURE CONSULTING LIMITED,15709189,active,ltd,,08-05-2024,08-05-2024,[66300],3rd Floor 1 Ashley Road Altrincham United Kingdom WA14 2DT,only SIC 66300 + incorporated 2024 or later
TAMI BIDCO LIMITED,11373771,active,ltd,,21-05-2018,21-05-2018,[66300],Ferguson House 15 Marylebone Road London England NW1 5JD,name pattern: bidco
CHICKORY LTD,15786348,active,ltd,,18-06-2024,18-06-2024,[66300],Unit 14 Witney Way Boldon Colliery United Kingdom NE35 9PE,only SIC 66300 + incorporated 2024 or later
NADAV ROSENBERG GP LIMITED,12653099,active,ltd,,08-06-2020,08-06-2020,[66300],27 New Dover Road Canterbury England CT1 3DN,name pattern: GP entity
TECHSTART SGS GP LIMITED,SC613139,active,ltd,,09-11-2018,09-11-2018,[66300],C/O Cms Cameron Mckenna Nabarro Olswang Llp Saltire Court Edinburgh United Kingdom EH1 2EN,name pattern: GP entity
OUESTIA PROPERTY GP LIMITED,09073565,active,ltd,,05-06-2014,05-06-2014,[66300],14th Floor 22 Bishopsgate London United Kingdom EC2N 4BQ,name pattern: GP entity
EXPONENT HAVANA CO-INVESTMENT PARTNERS GP LIMITED,08374481,active,ltd,,24-01-2013,24-01-2013,[66300],30 Broadwick Street London England W1F 8JB,name pattern: GP entity
EXPONENT PRIVATE EQUITY GP OF GP LIMITED,05152985,active,ltd,,14-06-2004,14-06-2004,[66300],30 Broadwick Street London England W1F 8JB,name pattern: GP entity
SYNOVA CAPITAL GP 6 LIMITED,12016643,active,ltd,,24-05-2019,24-05-2019,[66300],3rd Floor 45 Mortimer Street London United Kingdom W1W 8HJ,name pattern: GP entity
ALFA8 INVESTMENTS LIMITED,15593206,active,ltd,,25-03-2024,25-03-2024,[66300],42 New Broad Street London United Kingdom EC2M 1JD,only SIC 66300 + incorporated 2024 or later
EMERGE VENTURE PARTNERS (GENERAL PARTNER) II LIMITED,14302903,active,ltd,,17-08-2022,17-08-2022,[66300],Jisc London United Kingdom EC4A 1BW,name pattern: roman-numeral fund series suffix
SCF OXFORD (GP) LIMITED,SC699497,active,ltd,,21-05-2021,21-05-2021,[66300],50 Lothian Road Edinburgh Scotland EH3 9WJ,name pattern: GP entity
KFIM GP 1957 LIMITED,14120718,active,ltd,,20-05-2022,20-05-2022,[66300],"Kfim Llp 7th Floor,  Saddlers House London England EC2V 6BR",name pattern: GP entity
PANTHEON JASMIN GP LTD,14248793,active,ltd,,21-07-2022,21-07-2022,[66300],10 Finsbury Square London United Kingdom EC2A 1AF,name pattern: GP entity
FORE TAURUS GP LIMITED,11388373,active,ltd,,30-05-2018,30-05-2018,[66300],"C/O Goringe Accountants Ltd,  Waterside,  1650 Arlington Business Park Reading United Kingdom RG7 4SA",name pattern: GP entity
REGENERATIO LTD,15794229,active,ltd,,22-06-2024,22-06-2024,[66300],23 Ferncroft Avenue London England NW3 7PG,only SIC 66300 + incorporated 2024 or later
VIRID PARTNERS LIMITED,15797904,active,ltd,,23-06-2024,23-06-2024,[66300],2 Maple Court Macclesfield United Kingdom SK10 1JE,only SIC 66300 + incorporated 2024 or later
SUMMA EQUITY ADVISORY LTD.,15810685,active,ltd,,01-07-2024,01-07-2024,[66300],1 Chapel Street Warwick United Kingdom CV34 4HL,only SIC 66300 + incorporated 2024 or later
SPE SELECT UK GP IV LIMITED,13165118,active,ltd,,28-01-2021,28-01-2021,[66300],2nd Floor 37 Upper Brook Street London United Kingdom W1K 7PR,name pattern: GP entity
L9 INVESTMENT HOLDINGS GP LIMITED,SC480764,active,ltd,,25-06-2014,25-06-2014,[66300],50 Lothian Road Edinburgh EH3 9WJ,name pattern: GP entity
BGF IRELAND NOMINEES LIMITED,10657185,active,ltd,,07-03-2017,07-03-2017,[66300],13-15 York Buildings London United Kingdom WC2N 6JU,name pattern: nominee entity
ALCUIN GP LIMITED,06442276,active,ltd,,30-11-2007,30-11-2007,[66300],75 Knightsbridge London England SW1X 7BF,name pattern: GP entity
OMP (GP) LIMITED,SC344934,active,ltd,,25-06-2008,25-06-2008,[66300],50 Lothian Road Edinburgh EH3 9WJ,name pattern: GP entity
COACH HOUSE SETTLEMENT (NO 4) GP LIMITED,12500540,active,ltd,,05-03-2020,05-03-2020,[66300],White House Church Lane Winchester England SO21 2NJ,name pattern: GP entity
HUGGIN CAPITAL GROUP LTD,15830824,active,ltd,,10-07-2024,10-07-2024,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ,only SIC 66300 + incorporated 2024 or later
API JEWSONS LIMITED,15823339,active,ltd,,08-07-2024,08-07-2024,[66300],29 York Street London United Kingdom W1H 1EZ,only SIC 66300 + incorporated 2024 or later
FSE SWIF DEBT GP LIMITED,14583526,active,ltd,,10-01-2023,10-01-2023,[66300],"First Floor,  Linea House Fleet England GU51 2UZ",name pattern: GP entity
VGC MEMBER I LIMITED,11055600,active,ltd,,09-11-2017,09-11-2017,[66300],201 Great Portland Street London England W1W 5AB,name pattern: roman-numeral fund series suffix
MENA INVESTMENT PARTNERS GP LIMITED,12100611,active,ltd,,12-07-2019,12-07-2019,[66300],95 Chancery Lane London England WC2A 1DT,name pattern: GP entity
RCBIM NOMINEES LIMITED,07161397,active,ltd,,17-02-2010,17-02-2010,[66300],1 The Square Bristol BS1 6DG,name pattern: nominee entity
BGF UKEF 2 GP LIMITED,13995639,active,ltd,,22-03-2022,22-03-2022,[66300],13-15 York Buildings London United Kingdom WC2N 6JU,name pattern: GP entity
BGF UK ENTERPRISE FUND 1 GP LIMITED,12837188,active,ltd,,25-08-2020,25-08-2020,[66300],13-15 York Buildings London United Kingdom WC2N 6JU,name pattern: GP entity
IQ CAPITAL PARTNERS GP SPV LIMITED,13573988,active,ltd,,19-08-2021,19-08-2021,[66300],45 Whitfield Street London England W1T 4HD,name pattern: GP entity
RUTLAND HOLDCO LIMITED,04970968,active,ltd,,20-11-2003,20-11-2003,[66300],Thomas House London England SW1V 1PX,name pattern: holdco
RTP GLOBAL RE INVESTMENTS CARRY GP LIMITED,SC638956,active,ltd,,15-08-2019,15-08-2019,[66300],5 South Charlotte Street Edinburgh Scotland EH2 4AN,name pattern: GP entity
HABROK CAPITAL LIMITED,15911637,active,ltd,,22-08-2024,22-08-2024,[66300],C/O Buzzacott Llp London United Kingdom EC2V 6DL,only SIC 66300 + incorporated 2024 or later
ELYSIAN CAPITAL GP (ENGLAND) LIMITED,09303998,active,ltd,,10-11-2014,10-11-2014,[66300],1 Southampton Street London WC2R 0LR,name pattern: GP entity
STONEHAVEN CAPITAL LTD,15647725,active,ltd,,15-04-2024,15-04-2024,[66300],Suite 2b Hamilton Court House Westbourne United Kingdom BH4 8DT,only SIC 66300 + incorporated 2024 or later
IFM FINTECH OPPORTUNITIES II GP LIMITED,11592245,active,ltd,,27-09-2018,27-09-2018,"[64303, 66300]",404 The Frames London United Kingdom EC2A 4PS,name pattern: GP entity
"COLUMBIA LAKE PARTNERS GROWTH LENDING (HOLDINGS SUB), LIMITED",09152444,active,ltd,,,29-07-2014,[66300],6 Windmill Rise Kingston Upon Thames England KT2 7TU,name pattern: holdings sub-entity
KEY CAPITAL PARTNERS IX (NOMINEES) LIMITED,15799944,active,ltd,,24-06-2024,24-06-2024,[66300],13 Park Place Leeds United Kingdom LS1 2SJ,name pattern: nominee entity
GREENLANE INVESTMENT MANAGEMENT LTD,15781968,active,ltd,,16-06-2024,16-06-2024,[66300],9 Argyll Street London England W1F 7TG,only SIC 66300 + incorporated 2024 or later
LIVINGBRIDGE ENTERPRISE GP LIMITED,09758974,active,ltd,,02-09-2015,02-09-2015,[66300],100 Wood Street London United Kingdom EC2V 7AN,name pattern: GP entity
