company_name,company_number,company_status,company_type,company_subtype,incorporation_date,registered_date,nature_of_business,registered_office_address
FUTURE GROWTH CAPITAL LIMITED,15666257,active,ltd,,22-04-2024,22-04-2024,[66300],1 London Wall Place London England EC2Y 5AU
TJRK LIMITED,10774442,active,ltd,,17-05-2017,17-05-2017,[66300],Honeycroft Walton-On-Thames England KT12 1EJ
NJ INVESTCO LIMITED,12565422,active,ltd,,21-04-2020,21-04-2020,[66300],Harbour House Southampton England SO14 2AQ
FIN GREEN LTD,13620301,active,ltd,,14-09-2021,14-09-2021,"[64303, 66300]","85 Great Portland Street,  First Floor London United Kingdom W1W 7LT"
DRASHTA CAPITAL UK LIMITED,10228643,active,ltd,,13-06-2016,13-06-2016,[66300],124 City Road London England EC1V 2NX
INTENT TO SUCCESS LTD,13591197,active,ltd,,29-08-2021,29-08-2021,"[66300, 68100]",9 Corbets Tey Road Upminster England RM14 2AP
ECHIDNA HOLDINGS LIMITED,15731164,active,ltd,,20-05-2024,20-05-2024,[66300],237 Westcombe Hill London United Kingdom SE3 7DW
VULPES INVESTMENT MANAGEMENT UK LTD,14132118,active,ltd,,25-05-2022,25-05-2022,[66300],71-75 Shelton Street London United Kingdom WC2H 9JQ
LANDFAIR CAPITAL LIMITED,12611953,active,ltd,,19-05-2020,19-05-2020,"[66300,68320,70221, 96090]",3rd Floor 1 Ashley Road Altrincham United Kingdom WA14 2DT
AUGMENTUM FINTECH GP LIMITED,11194622,active,ltd,,08-02-2018,08-02-2018,[66300],5th Floor 4 Chiswell Street London England EC1Y 4UP
MAKPAY LTD,12108819,active,ltd,,17-07-2019,17-07-2019,[66300],61 Bridge Street Kington England HR5 3DJ
CDAM (UK) LIMITED,08978722,active,ltd,,04-04-2014,04-04-2014,[66300],Meadows House London England W1J 5PR
RESONANCE ENTERPRISE INVESTMENT CIC,14399700,active,ltd,community-interest-company,05-10-2022,05-10-2022,[66300],The Great Barn 5 Scarne Court Launceston England PL15 9LR
RAHMA INVESTMENTS LIMITED,12480667,active,ltd,,25-02-2020,25-02-2020,[66300],20 Unimix House Abbey Road London England NW10 7TR
BALYASNY INTERNATIONAL II LTD,14715832,active,ltd,,08-03-2023,08-03-2023,[66300],23 King Street London England SW1Y 6QY
BLUE CLOUD GLOBAL U.K. LIMITED,14819323,active,ltd,,21-04-2023,21-04-2023,"[64303,66300, 70221]",20 Havelock Road Hastings England TN34 1BP
ST LEONARDS QUARTER NO 2 LIMITED,13911301,active,ltd,,11-02-2022,11-02-2022,[66300],29 York Street London England W1H 1EZ
CTS FINANCE LIMITED,10744713,active,ltd,,27-04-2017,27-04-2017,[66300],Solar House London United Kingdom N14 6NZ
JK INVESTMENT MANAGEMENT SERVICES LIMITED,04765845,active,ltd,,15-05-2003,15-05-2003,[66300],3 Bury House Guildford GU2 4AW
NEWSOME WEALTH MANAGEMENT LTD,11991197,active,ltd,,13-05-2019,13-05-2019,[66300],4 Running Well Runwell England SS11 7GD
3I GP 2019 (SCOTS) LIMITED,SC630869,active,ltd,,21-05-2019,21-05-2019,"[64205, 66300]",50 Lothian Road Edinburgh Scotland EH3 9WJ
KRYGER CAPITAL LIMITED,12592006,active,ltd,,07-05-2020,07-05-2020,[66300],35 Dover Street London England W1S 4NQ
OXBRIDGE ANGELS NOMINEES 2020 LTD,12145651,active,ltd,,08-08-2019,08-08-2019,[66300],298 A Bath Road Hounslow United Kingdom TW4 7DN
NUPPP (GP) LIMITED,04330905,active,ltd,,29-11-2001,29-11-2001,[66300],80 Fenchurch Street London United Kingdom EC3M 4AE
CHIMARA LIMITED,08986533,active,ltd,,08-04-2014,08-04-2014,"[63990,64999, 66300]",124 City Road 124 City Road London United Kingdom EC1V 2NX
TREMPLIN MANAGEMENT LTD,08519020,active,ltd,,07-05-2013,07-05-2013,[66300],Beckwith Barn Warren Estate Writtle England CM1 3WT
GENIO CAPITAL LIMITED,12351291,active,ltd,,05-12-2019,05-12-2019,[66300],13 Hursley Road Eastleigh United Kingdom SO53 2FW
PARKER CAPITAL PRIVATE EQUITY LIMITED,11594604,active,ltd,,28-09-2018,28-09-2018,[66300],Prospect Park Leeds United Kingdom LS14 1NH
BARRACUDA ENERGY STORAGE LIMITED,13017347,active,ltd,,13-11-2020,13-11-2020,"[07290, 08990,66300, 70221]",13017347 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH
MATIN GROUP LTD,10885069,active,ltd,,26-07-2017,26-07-2017,[66300],128 City Road London United Kingdom EC1V 2NX
ABRDN (IL INFRASTRUCTURE DEBT) GP LIMITED,14313126,active,ltd,,23-08-2022,23-08-2022,[66300],280 Bishopsgate London United Kingdom EC2M 4AG
AXIUM EUROPE PARTNER LTD,14193917,active,ltd,,24-06-2022,24-06-2022,"[66190, 66300]",Savoystrand London England WC2R 0AA
EZEBIZGROUP LTD,10999818,active,ltd,,06-10-2017,06-10-2017,"[49320, 66300]",3 Wylie Close Oxford United Kingdom OX3 7NH
APEX INDEPENDENT FINANCIAL PLANNING LTD,09747110,active,ltd,,25-08-2015,25-08-2015,[66300],Elm Lodge 14 Elbow Lane Liverpool England L37 4AF
