company_name,company_number,company_type,incorporation_date,nature_of_business,registered_office_address,_score
CAMBRIDGE ASSOCIATES LIMITED,06135829,ltd,05-03-2007,"[64999,66190,66300, 96090]",62 Buckingham Gate London England SW1E 6AJ,15.0
TWO SIGMA INTERNATIONAL LIMITED,06486331,ltd,28-01-2008,"[64999,66120,66190, 66300]",Level 5 7 Devonshire Square London United Kingdom EC2M 4YH,15.0
SAUNDERSON HOUSE LIMITED,00940473,ltd,14-10-1968,"[64999,65110,65120, 66300]",30 Gresham Street London England EC2V 7QN,15.0
SAINTEMP INVESTMENTS LIMITED,05961819,ltd,10-10-2006,"[41100,66300,70229, 72190]",C/O Citygate Accountants Unit 1.01 East London Business Centre London England E1 1EJ,15.0
TRADERISKS LIMITED,04042506,ltd,28-07-2000,"[64999,66120,66300, 70229]",5 New Street Square London England EC4A 3TW,15.0
HR BANK LIMITED,04707000,ltd,21-03-2003,"[64929,64999,66110, 66300]",7 Bell Yard London England WC2A 2JR,15.0
COZETTE LTD,06969733,ltd,22-07-2009,"[64209,64304,64999, 66300]",4 Wimbledon Close London England SW20 8HW,15.0
GOLDCAPITAL INVESTMENTS LTD.,07107266,ltd,17-12-2009,"[64205,66110,66300, 82990]",27 Scott Gardens London England TW5 9JU,15.0
PHILIP J MILTON & COMPANY PLC,03233275,plc,02-08-1996,"[64205,64999, 66300]",Choweree House Barnstaple England EX31 1RP,15.0
MOMOESSA CAPITAL MANAGEMENT LIMITED,06819957,ltd,16-02-2009,"[64209,64303,64999, 66300]",Kemp House 160 City Road London United Kingdom EC1V 2NX,15.0
ESS GROUP INTERNATIONAL LTD,07710145,ltd,19-07-2011,"[41100,62020,66300, 82990]",3rd Floor 207 Regent Street London W1B 3HH,14.5
RESI CAPITAL MANAGEMENT LIMITED,07588964,ltd,04-04-2011,"[64999,66120,66190, 66300]",5 New Street Square London England EC4A 3TW,14.5
AGENZIA LIGURIA RUSSIA LTD,07808773,ltd,13-10-2011,"[64301,64999,66300, 82110]",167-169 Great Portland Street London W1W 5PF,14.5
MORNINGSTAR WEALTH ADMINISTRATION LIMITED,06016828,ltd,04-12-2006,"[64304,66190, 66300]",1 Oliver's Yard London England EC1Y 1HQ,14.0
B KING ASSOCIATES LTD,07477764,ltd,23-12-2010,"[63990,66300, 82990]",Flat 3 North Lodge London N22 7UB,14.0
MASTER FINCAPITAL LTD,07431816,ltd,08-11-2010,"[66190,66300, 70229]",C/O Rpgcc London England EC3V 0BT,14.0
PIERS COURT CAPITAL LIMITED,07454416,ltd,29-11-2010,"[64303,64999, 66300]",65 Cadogan Square London SW1X 0DY,14.0
PHOENIX UNIVERSAL  SOLUTIONS LIMITED,07116827,ltd,05-01-2010,"[66110,66120,66300, 70229]",10 Offord Grove Offord Grove Watford England WD25 7NE,14.0
FLUID7 LIMITED,05826599,ltd,23-05-2006,"[64999,66190,66300, 82990]",C11 Generator Hall Electric Wharf Coventry England CV1 4JL,14.0
MARSHALL STERLING ASSET MANAGEMENT LIMITED,06773042,ltd,15-12-2008,"[64303,64999, 66300]",27 Old Gloucester Street London England WC1N 3AX,14.0
MAHER BROWNSWORD LIMITED,04460050,ltd,13-06-2002,"[64922,66300,70221, 82990]",10 Guild Street Stratford-Upon-Avon CV37 6RE,14.0
CITY TRAINING LIMITED,03734888,ltd,17-03-1999,"[66120,66190,66300, 70221]",19 The Ridgeway null N3 2PG,14.0
STOCKDALE STREET LIMITED,04481271,ltd,09-07-2002,"[64205,66300, 70221]",1 Charterhouse Street London EC1N 6SA,14.0
AXM VENTURE CAPITAL (HOLDINGS) LIMITED,05355331,ltd,07-02-2005,"[64205,66300, 70229]",57g Randolph Avenue London W9 1BQ,14.0
PROMARKET INTERNATIONAL PLC,08251885,plc,12-10-2012,"[64205,64921,66220, 66300]","Unit 3,  Office A,  1st Floor London England EC3R 8EE",14.0
SAGE & HERMES LIMITED,02958215,ltd,12-08-1994,"[58110,58141,66190, 66300]",44 Worthington Road Surrey KT6 7RX,14.0
BOSTON INVESTMENT MANAGEMENT GROUP LIMITED,01007782,ltd,14-04-1971,"[64205,64303,66300, 70229]",Wildwoods Beaconsfield HP9 2NR,14.0
