company_name,company_number,_score,incorporation_date,registered_office_address,check_status,website_url,career_page_url,has_openings,matching_roles_found,last_checked_date,shortlist,notes
CAMBRIDGE ASSOCIATES LIMITED,06135829,15.0,05-03-2007,62 Buckingham Gate London England SW1E 6AJ,checked,https://www.cambridgeassociates.com,https://www.cambridgeassociates.com/careers/,yes,Investment Director - Real Assets; Managing Director - Infrastructure Investment,2026-08-17,yes,"Large global investment consultancy; London roles listed skew senior/investment, not entry analyst"
TWO SIGMA INTERNATIONAL LIMITED,06486331,15.0,28-01-2008,Level 5 7 Devonshire Square London United Kingdom EC2M 4YH,checked,https://www.twosigma.com,https://careers.twosigma.com/careers/OpenRoles,yes,Quantitative Researcher (Investment/Client Solutions); undergraduate internship program,2026-08-17,yes,Hedge fund; London has open investment/engineering roles plus internship pipeline
SAUNDERSON HOUSE LIMITED,00940473,15.0,14-10-1968,30 Gresham Street London England EC2V 7QN,checked,https://saundersonhouse.co.uk,https://saundersonhouse.co.uk/careers/,no,,2026-08-17,,"Wealth manager, part of Rathbones; recruitment handled by parent, no specific open roles found"
SAINTEMP INVESTMENTS LIMITED,05961819,15.0,10-10-2006,C/O Citygate Accountants Unit 1.01 East London Business Centre London England E1 1EJ,checked,,,unclear,,2026-08-17,,no website found; tiny private investment company (3 employees)
TRADERISKS LIMITED,04042506,15.0,28-07-2000,5 New Street Square London England EC4A 3TW,checked,http://www.traderisks.com,http://www.traderisks.com/about-us/career,no,,2026-08-17,,"Debt advisory firm; careers page only has generic recruiting statement, no listed roles"
HR BANK LIMITED,04707000,15.0,21-03-2003,7 Bell Yard London England WC2A 2JR,checked,https://hrbankuk.com,,no,,2026-08-17,,Private bank for professional clients only; no careers page found
COZETTE LTD,06969733,15.0,22-07-2009,4 Wimbledon Close London England SW20 8HW,checked,,,unclear,,2026-08-17,,no website found
GOLDCAPITAL INVESTMENTS LTD.,07107266,15.0,17-12-2009,27 Scott Gardens London England TW5 9JU,pending,,,,,,,
PHILIP J MILTON & COMPANY PLC,03233275,15.0,02-08-1996,Choweree House Barnstaple England EX31 1RP,pending,,,,,,,
MOMOESSA CAPITAL MANAGEMENT LIMITED,06819957,15.0,16-02-2009,Kemp House 160 City Road London United Kingdom EC1V 2NX,checked,https://mecm.co.uk/,,no,,2026-08-17,,small Islamic finance investment/consulting firm; no careers page found
ESS GROUP INTERNATIONAL LTD,07710145,14.5,19-07-2011,3rd Floor 207 Regent Street London W1B 3HH,checked,,,unclear,,2026-08-17,,"no website found; name too generic, micro business (<10 employees)"
RESI CAPITAL MANAGEMENT LIMITED,07588964,14.5,04-04-2011,5 New Street Square London England EC4A 3TW,checked,https://www.resi-reit.com,,no,,2026-08-17,,"manager of ReSI REIT, now in managed wind-down (since 2024) under Gresham House; no careers page"
